id,strategy,stations,total_ambulances,completion_time,outstanding_req,idle_ambulances
284,3,3,10,575.2282612330519,225.58622,5.051207142857143
285,3,3,11,453.57162125723886,168.15051857142853,5.366449999999999
286,3,3,12,502.78381648645586,207.8337257142857,6.449764285714286
287,3,3,13,424.5912334870485,148.65885857142857,7.065338571428572
288,3,3,14,270.533981434755,108.05068428571428,7.779615714285714
289,3,3,15,263.0773557573522,94.52112142857145,8.678064285714285
290,3,3,16,162.51079915056778,48.41409857142857,9.307621428571428
291,3,3,17,73.02569482717347,29.273570000000003,10.054155714285715
292,3,3,18,124.12075675771341,37.995715714285716,11.298064285714286
293,3,3,19,58.04939514516469,13.068454285714283,12.057734285714284
294,3,3,20,21.333753498317368,5.296950000000001,13.062275714285713
295,3,3,21,55.97574702648393,12.615854285714285,14.039145714285715
296,3,3,22,16.563153513838614,2.128058571428572,15.163551428571427
297,3,3,23,15.693208200179857,0.33395,15.979409999999998
298,3,3,24,16.087442237108824,0.5132371428571428,16.929447142857143
299,3,3,25,14.276824363867277,0.08702571428571428,18.10636714285714
300,3,4,6,689.6519276253529,423.08527142857145,2.9170499999999997
301,3,4,7,622.5103318136879,384.52083571428574,3.584374285714286
302,3,4,8,575.1725954475838,249.6881614285715,4.094158571428571
303,3,4,9,543.9721272723741,213.55213571428573,4.90263
304,3,4,10,453.4538200119452,194.03081571428572,5.582495714285716
305,3,4,11,408.05942892899577,190.10007,6.415998571428571
306,3,4,12,339.0024771634924,135.24909142857143,7.167955714285714
307,3,4,13,312.58804169205234,118.10927,8.093155714285714
308,3,4,14,246.0443658021878,85.16588857142857,8.847785714285715
309,3,4,15,209.57247416716186,71.96851571428572,9.80205285714286
310,3,4,16,197.69801636072575,75.22881000000001,10.65261857142857
311,3,4,17,168.11483732635534,45.38512857142857,11.452207142857144
312,3,4,18,66.65074428347683,26.958154285714286,12.554074285714286
313,3,4,19,92.10855857486125,19.586897142857143,13.344352857142859
314,3,4,20,76.63352949726165,29.029285714285717,14.401321428571428
315,3,4,21,35.61605604059863,11.77943142857143,15.27095142857143
316,3,4,22,19.06886679474932,2.9806371428571423,16.195104285714287
317,3,4,23,17.56141169580817,1.6872999999999998,17.247159999999997
318,3,4,24,19.854480464021684,10.01619,18.301507142857137
319,3,4,25,13.464783375583277,1.5094442857142858,19.052222857142855
320,3,5,6,524.3209407080655,285.05501285714286,3.1244828571428576
321,3,5,7,479.47214475611077,301.56523714285714,4.1043199999999995
322,3,5,8,485.28528336009754,272.2425671428571,4.953919999999999
323,3,5,9,433.12525031923434,268.4248571428572,5.738734285714287
324,3,5,10,275.06175039349307,150.44554714285715,6.158712857142857
325,3,5,11,282.62973524464053,113.34888142857142,7.157702857142857
